Model,CLD,CLD_Display,Total_Edges,TP,FP,FN,POSITIVE,NEGATIVE,NONE,COMPLEX,N_Runs,Precision,Recall,F1,Source_File
Claude-Sonnet-4,depressive,Depressive,546,96,329,6,243.0,182.0,120.0,0.0,3.0,0.22588235294117648,0.9411764705882353,0.364326375711575,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/claude-sonnet-4/depressive (n=3)
Claude-Sonnet-4,emergency_dept,Emergency Dept,3168,92,1970,7,1153.0,901.0,1106.0,8.0,3.0,0.0446168768186227,0.9292929292929293,0.0851457658491439,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/claude-sonnet-4/emergency_dept (n=3)
Claude-Sonnet-4,social_norms,Social Norms,270,30,74,3,90.0,13.0,166.0,1.0,3.0,0.28846153846153844,0.9090909090909091,0.43795620437956195,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/claude-sonnet-4/social_norms (n=3)
GPT-4.1,depressive,Depressive,546,80,106,22,114.0,72.0,360.0,0.0,3.0,0.43010752688172044,0.7843137254901961,0.5555555555555556,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/depressive (n=3)
GPT-4.1,emergency_dept,Emergency Dept,3168,19,356,80,202.0,173.0,2793.0,0.0,3.0,0.050666666666666665,0.1919191919191919,0.08016877637130802,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/emergency_dept (n=3)
GPT-4.1,social_norms,Social Norms,270,17,24,16,31.0,10.0,229.0,0.0,3.0,0.4146341463414634,0.5151515151515151,0.4594594594594595,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/social_norms (n=3)
Sonar-Pro,depressive,Depressive,540,71,162,31,145.0,81.0,304.0,6.0,3.0,0.30472103004291845,0.696078431372549,0.42388059701492536,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/depressive (n=3)
Sonar-Pro,emergency_dept,Emergency Dept,3095,65,1184,34,619.0,610.0,1841.0,14.0,3.0,0.05204163330664532,0.6565656565656566,0.09643916913946589,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/emergency_dept (n=3)
Sonar-Pro,social_norms,Social Norms,268,14,34,19,35.0,11.0,219.0,1.0,3.0,0.2916666666666667,0.42424242424242425,0.345679012345679,/home/nitai/code/thesis_cleanup/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/social_norms (n=3)
GPT-4.1,Total,Total,3984,116,486,118,,,,,,0.19269102990033224,0.49572649572649574,0.27751196172248804,
Sonar-Pro,Total,Total,3903,150,1380,84,,,,,,0.09803921568627451,0.6410256410256411,0.17006802721088435,
Claude-Sonnet-4,Total,Total,3984,218,2373,16,,,,,,0.08413739868776535,0.9316239316239316,0.1543362831858407,
