Model,CLD,CLD_Display,Total_Edges,TP,FP,FN,Precision,Recall,F1,POSITIVE,NEGATIVE,NONE,COMPLEX,Source_File
GPT-4.1,social_norms,Social Norms,90,6,9,5,0.4,0.5454545454545454,0.4615384615384615,12,3,75,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/social_norms/gpt-4.1_social_norms_result_20251218_030037.xlsx
GPT-4.1,social_norms,Social Norms,90,6,8,5,0.42857142857142855,0.5454545454545454,0.4799999999999999,10,4,76,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/social_norms/gpt-4.1_social_norms_result_20251231_063818_20251231_063941.xlsx
GPT-4.1,social_norms,Social Norms,90,5,7,6,0.4166666666666667,0.45454545454545453,0.43478260869565216,9,3,78,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/social_norms/gpt-4.1_social_norms_result_20251231_064016_20251231_064133.xlsx
GPT-4.1,depressive,Depressive,182,26,35,8,0.4262295081967213,0.7647058823529411,0.5473684210526315,38,23,121,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/depressive/gpt-4.1_depressive_result_20251218_030507.xlsx
GPT-4.1,depressive,Depressive,182,27,32,7,0.4576271186440678,0.7941176470588235,0.5806451612903226,36,23,123,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/depressive/gpt-4.1_depressive_result_20251231_064154_20251231_064430.xlsx
GPT-4.1,depressive,Depressive,182,27,39,7,0.4090909090909091,0.7941176470588235,0.54,40,26,116,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/depressive/gpt-4.1_depressive_result_20251231_064458_20251231_064729.xlsx
GPT-4.1,emergency_dept,Emergency Dept,1056,6,120,27,0.047619047619047616,0.18181818181818182,0.07547169811320754,68,58,930,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/emergency_dept/gpt-4.1_emergency_dept_result_20251218_032516.xlsx
GPT-4.1,emergency_dept,Emergency Dept,1056,6,117,27,0.04878048780487805,0.18181818181818182,0.07692307692307693,67,56,933,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/emergency_dept/gpt-4.1_emergency_dept_result_20251231_070134_20251231_071547.xlsx
GPT-4.1,emergency_dept,Emergency Dept,1056,7,119,26,0.05555555555555555,0.21212121212121213,0.0880503144654088,67,59,930,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/gpt-4.1/emergency_dept/gpt-4.1_emergency_dept_result_20251231_071656_20251231_073104.xlsx
Sonar-Pro,social_norms,Social Norms,89,7,11,4,0.3888888888888889,0.6363636363636364,0.4827586206896552,14,4,71,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/social_norms/sonar-pro_social_norms_result_20251218_034610.xlsx
Sonar-Pro,social_norms,Social Norms,90,4,8,7,0.3333333333333333,0.36363636363636365,0.34782608695652173,10,1,78,1,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/social_norms/sonar-pro_social_norms_result_20251231_073207_20251231_073349.xlsx
Sonar-Pro,social_norms,Social Norms,89,3,15,8,0.16666666666666666,0.2727272727272727,0.20689655172413793,11,6,70,0,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/social_norms/sonar-pro_social_norms_result_20251231_073413_20251231_073551.xlsx
Sonar-Pro,depressive,Depressive,178,24,59,10,0.2891566265060241,0.7058823529411765,0.4102564102564103,51,30,93,2,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/depressive/sonar-pro_depressive_result_20251218_035237.xlsx
Sonar-Pro,depressive,Depressive,182,25,52,9,0.3246753246753247,0.7352941176470589,0.45045045045045046,46,29,104,2,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/depressive/sonar-pro_depressive_result_20251231_073617_20251231_073941.xlsx
Sonar-Pro,depressive,Depressive,180,22,51,12,0.3013698630136986,0.6470588235294118,0.411214953271028,48,22,107,2,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/depressive/sonar-pro_depressive_result_20251231_074018_20251231_074340.xlsx
Sonar-Pro,emergency_dept,Emergency Dept,1051,24,421,9,0.05393258426966292,0.7272727272727273,0.10041841004184102,202,234,604,4,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/emergency_dept/sonar-pro_emergency_dept_result_20251218_042208.xlsx
Sonar-Pro,emergency_dept,Emergency Dept,988,21,372,12,0.05343511450381679,0.6363636363636364,0.09859154929577464,203,184,593,6,/home/nitai/code/causalix.ai/final_runs/prelim_generator_model_comparison/analysis_scripts/data/sonar-pro/emergency_dept/sonar-pro_emergency_dept_result_20251231_074417_20251231_080225.xlsx
