tp,fp,fn,tn,precision,recall,f1,file,cld,temperature,seed,run_idx
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_202834.xlsx,social_norms,0.0,10,1
5,11,6,88,0.3125,0.45454545454545453,0.3703703703703703,result_excel_path_20251217_203008.xlsx,social_norms,0.0,20,2
4,12,7,87,0.25,0.36363636363636365,0.2962962962962963,result_excel_path_20251217_203151.xlsx,social_norms,0.0,30,3
5,10,6,89,0.3333333333333333,0.45454545454545453,0.3846153846153846,result_excel_path_20251217_203334.xlsx,social_norms,0.3,10,4
5,9,6,90,0.35714285714285715,0.45454545454545453,0.4,result_excel_path_20251217_203516.xlsx,social_norms,0.3,20,5
4,9,7,90,0.3076923076923077,0.36363636363636365,0.33333333333333337,result_excel_path_20251217_203650.xlsx,social_norms,0.3,30,6
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_203825.xlsx,social_norms,0.5,10,7
4,14,7,85,0.2222222222222222,0.36363636363636365,0.27586206896551724,result_excel_path_20251217_204007.xlsx,social_norms,0.5,20,8
5,12,6,87,0.29411764705882354,0.45454545454545453,0.35714285714285715,result_excel_path_20251217_204211.xlsx,social_norms,0.5,30,9
4,10,7,89,0.2857142857142857,0.36363636363636365,0.32,result_excel_path_20251217_204351.xlsx,social_norms,0.7,10,10
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_204522.xlsx,social_norms,0.7,20,11
5,8,6,91,0.38461538461538464,0.45454545454545453,0.41666666666666663,result_excel_path_20251217_204715.xlsx,social_norms,0.7,30,12
5,12,6,87,0.29411764705882354,0.45454545454545453,0.35714285714285715,result_excel_path_20251217_204917.xlsx,social_norms,1.0,10,13
5,10,6,89,0.3333333333333333,0.45454545454545453,0.3846153846153846,result_excel_path_20251217_205100.xlsx,social_norms,1.0,20,14
5,9,6,90,0.35714285714285715,0.45454545454545453,0.4,result_excel_path_20251217_205241.xlsx,social_norms,1.0,30,15
26,55,8,121,0.32098765432098764,0.7647058823529411,0.4521739130434782,result_excel_path_20251217_205515.xlsx,depressive,0.0,10,16
25,56,9,120,0.30864197530864196,0.7352941176470589,0.4347826086956521,result_excel_path_20251217_205814.xlsx,depressive,0.0,20,17
28,55,6,121,0.3373493975903614,0.8235294117647058,0.47863247863247865,result_excel_path_20251217_210059.xlsx,depressive,0.0,30,18
26,56,8,120,0.3170731707317073,0.7647058823529411,0.4482758620689655,result_excel_path_20251217_210346.xlsx,depressive,0.3,10,19
26,56,8,120,0.3170731707317073,0.7647058823529411,0.4482758620689655,result_excel_path_20251217_210643.xlsx,depressive,0.3,20,20
25,55,9,121,0.3125,0.7352941176470589,0.4385964912280702,result_excel_path_20251217_210956.xlsx,depressive,0.3,30,21
27,48,7,128,0.36,0.7941176470588235,0.49541284403669716,result_excel_path_20251217_211246.xlsx,depressive,0.5,10,22
28,53,6,123,0.345679012345679,0.8235294117647058,0.48695652173913045,result_excel_path_20251217_211549.xlsx,depressive,0.5,20,23
26,54,8,122,0.325,0.7647058823529411,0.456140350877193,result_excel_path_20251217_211850.xlsx,depressive,0.5,30,24
25,54,9,122,0.31645569620253167,0.7352941176470589,0.44247787610619477,result_excel_path_20251217_212133.xlsx,depressive,0.7,10,25
26,55,8,121,0.32098765432098764,0.7647058823529411,0.4521739130434782,result_excel_path_20251217_212420.xlsx,depressive,0.7,20,26
25,54,9,122,0.31645569620253167,0.7352941176470589,0.44247787610619477,result_excel_path_20251217_212652.xlsx,depressive,0.7,30,27
26,58,8,118,0.30952380952380953,0.7647058823529411,0.4406779661016949,result_excel_path_20251217_212941.xlsx,depressive,1.0,10,28
26,54,8,122,0.325,0.7647058823529411,0.456140350877193,result_excel_path_20251217_213228.xlsx,depressive,1.0,20,29
25,56,9,120,0.30864197530864196,0.7352941176470589,0.4347826086956521,result_excel_path_20251217_213521.xlsx,depressive,1.0,30,30
11,132,51,996,0.07692307692307693,0.1774193548387097,0.10731707317073172,result_excel_path_20251217_214703.xlsx,emergency_department,0.0,10,31
13,129,49,999,0.09154929577464789,0.20967741935483872,0.12745098039215688,result_excel_path_20251217_215911.xlsx,emergency_department,0.0,20,32
11,138,51,990,0.0738255033557047,0.1774193548387097,0.1042654028436019,result_excel_path_20251217_221426.xlsx,emergency_department,0.0,30,33
14,137,48,991,0.09271523178807947,0.22580645161290322,0.13145539906103285,result_excel_path_20251217_222618.xlsx,emergency_department,0.3,10,34
11,136,51,992,0.07482993197278912,0.1774193548387097,0.10526315789473684,result_excel_path_20251217_223802.xlsx,emergency_department,0.3,20,35
14,127,48,1001,0.09929078014184398,0.22580645161290322,0.13793103448275862,result_excel_path_20251217_225102.xlsx,emergency_department,0.3,30,36
10,128,52,1000,0.07246376811594203,0.16129032258064516,0.09999999999999999,result_excel_path_20251217_230254.xlsx,emergency_department,0.5,10,37
11,131,51,997,0.07746478873239436,0.1774193548387097,0.10784313725490195,result_excel_path_20251217_231424.xlsx,emergency_department,0.5,20,38
11,130,51,998,0.07801418439716312,0.1774193548387097,0.10837438423645321,result_excel_path_20251217_232617.xlsx,emergency_department,0.5,30,39
9,130,53,998,0.06474820143884892,0.14516129032258066,0.08955223880597014,result_excel_path_20251217_233917.xlsx,emergency_department,0.7,10,40
12,136,50,992,0.08108108108108109,0.1935483870967742,0.11428571428571428,result_excel_path_20251217_235127.xlsx,emergency_department,0.7,20,41
11,131,51,997,0.07746478873239436,0.1774193548387097,0.10784313725490195,result_excel_path_20251218_000314.xlsx,emergency_department,0.7,30,42
11,131,51,997,0.07746478873239436,0.1774193548387097,0.10784313725490195,result_excel_path_20251218_001521.xlsx,emergency_department,1.0,10,43
11,131,51,997,0.07746478873239436,0.1774193548387097,0.10784313725490195,result_excel_path_20251218_002704.xlsx,emergency_department,1.0,20,44
10,131,52,997,0.07092198581560284,0.16129032258064516,0.09852216748768473,result_excel_path_20251218_004000.xlsx,emergency_department,1.0,30,45
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_202834.xlsx,social_norms,0.0,10,1
5,11,6,88,0.3125,0.45454545454545453,0.3703703703703703,result_excel_path_20251217_203008.xlsx,social_norms,0.0,20,2
4,12,7,87,0.25,0.36363636363636365,0.2962962962962963,result_excel_path_20251217_203151.xlsx,social_norms,0.0,30,3
5,10,6,89,0.3333333333333333,0.45454545454545453,0.3846153846153846,result_excel_path_20251217_203334.xlsx,social_norms,0.3,10,4
5,9,6,90,0.35714285714285715,0.45454545454545453,0.4,result_excel_path_20251217_203516.xlsx,social_norms,0.3,20,5
4,9,7,90,0.3076923076923077,0.36363636363636365,0.33333333333333337,result_excel_path_20251217_203650.xlsx,social_norms,0.3,30,6
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_203825.xlsx,social_norms,0.5,10,7
4,14,7,85,0.2222222222222222,0.36363636363636365,0.27586206896551724,result_excel_path_20251217_204007.xlsx,social_norms,0.5,20,8
5,12,6,87,0.29411764705882354,0.45454545454545453,0.35714285714285715,result_excel_path_20251217_204211.xlsx,social_norms,0.5,30,9
4,10,7,89,0.2857142857142857,0.36363636363636365,0.32,result_excel_path_20251217_204351.xlsx,social_norms,0.7,10,10
4,11,7,88,0.26666666666666666,0.36363636363636365,0.30769230769230765,result_excel_path_20251217_204522.xlsx,social_norms,0.7,20,11
5,8,6,91,0.38461538461538464,0.45454545454545453,0.41666666666666663,result_excel_path_20251217_204715.xlsx,social_norms,0.7,30,12
5,12,6,87,0.29411764705882354,0.45454545454545453,0.35714285714285715,result_excel_path_20251217_204917.xlsx,social_norms,1.0,10,13
5,10,6,89,0.3333333333333333,0.45454545454545453,0.3846153846153846,result_excel_path_20251217_205100.xlsx,social_norms,1.0,20,14
5,9,6,90,0.35714285714285715,0.45454545454545453,0.4,result_excel_path_20251217_205241.xlsx,social_norms,1.0,30,15
26,55,8,121,0.32098765432098764,0.7647058823529411,0.4521739130434782,result_excel_path_20251217_205515.xlsx,depressive,0.0,10,16
25,56,9,120,0.30864197530864196,0.7352941176470589,0.4347826086956521,result_excel_path_20251217_205814.xlsx,depressive,0.0,20,17
28,55,6,121,0.3373493975903614,0.8235294117647058,0.47863247863247865,result_excel_path_20251217_210059.xlsx,depressive,0.0,30,18
26,56,8,120,0.3170731707317073,0.7647058823529411,0.4482758620689655,result_excel_path_20251217_210346.xlsx,depressive,0.3,10,19
26,56,8,120,0.3170731707317073,0.7647058823529411,0.4482758620689655,result_excel_path_20251217_210643.xlsx,depressive,0.3,20,20
25,55,9,121,0.3125,0.7352941176470589,0.4385964912280702,result_excel_path_20251217_210956.xlsx,depressive,0.3,30,21
27,48,7,128,0.36,0.7941176470588235,0.49541284403669716,result_excel_path_20251217_211246.xlsx,depressive,0.5,10,22
28,53,6,123,0.345679012345679,0.8235294117647058,0.48695652173913045,result_excel_path_20251217_211549.xlsx,depressive,0.5,20,23
26,54,8,122,0.325,0.7647058823529411,0.456140350877193,result_excel_path_20251217_211850.xlsx,depressive,0.5,30,24
25,54,9,122,0.31645569620253167,0.7352941176470589,0.44247787610619477,result_excel_path_20251217_212133.xlsx,depressive,0.7,10,25
26,55,8,121,0.32098765432098764,0.7647058823529411,0.4521739130434782,result_excel_path_20251217_212420.xlsx,depressive,0.7,20,26
25,54,9,122,0.31645569620253167,0.7352941176470589,0.44247787610619477,result_excel_path_20251217_212652.xlsx,depressive,0.7,30,27
